"id","filename","species","latitude","longitude","family","order","genus","year","gbif_species_to_verbatim","Specimen ID","Bnet UI","Familiy_kawahara","Genus_kawahara","Species_kawahara","kawahara_index","phy_tip_name","swallowtail","swallowtail_length","Csize","match_landmarks","match_tree"
"2562075306","2562075306_graphium_G_agamemnon_upp_F_36274.jpg.jpg","Graphium agamemnon","-3.199828","129.452191","Papilionidae","Lepidoptera","Graphium","1918","Graphium agamemnon","RF140004",NA,"Papilionidae","Graphium","agamemnon","1808","RF140004_Graphium_agamemnon_ME","0","0","1860.09164696259","2562075306_graphium_G_agamemnon_upp_F_36274","Graphium_agamemnon"
"2562075378","2562075378_graphium_G_sarpedon_upp_M_32054.jpg","Graphium sarpedon","-6.720234","106.604041","Papilionidae","Lepidoptera","Graphium","1938","Graphium sarpedon","LEP36329","BN005174","Papilionidae","Graphium","sarpedon","1807","BN005174_LEP36329_Papilionidae_Papilioninae_Leptocircini_Graphium_sarpedon","0","0","1554.33035066552","2562075378_graphium_G_sarpedon_upp_M_32054","Graphium_sarpedon"
"2562075536","2562075536_graphium_G_agamemnon_upp_M_36230.jpg.jpg","Graphium agamemnon","-6.826056","111.868417","Papilionidae","Lepidoptera","Graphium","2012","Graphium agamemnon","RF140004",NA,"Papilionidae","Graphium","agamemnon","1808","RF140004_Graphium_agamemnon_ME","0","0","1854.43938965392","2562075536_graphium_G_agamemnon_upp_M_36230","Graphium_agamemnon"
"2562075690","2562075690_graphium_G_sarpedon_upp_M_32053.jpg.jpg","Graphium sarpedon","-5.459944","105.051543","Papilionidae","Lepidoptera","Graphium","1921","Graphium sarpedon","LEP36329","BN005174","Papilionidae","Graphium","sarpedon","1807","BN005174_LEP36329_Papilionidae_Papilioninae_Leptocircini_Graphium_sarpedon","0","0","1587.92286774264","2562075690_graphium_G_sarpedon_upp_M_32053","Graphium_sarpedon"
"2562075786","2562075786_graphium_G_sarpedon_upp_F_39745.jpg","Graphium sarpedon","-6.783333","106.566667","Papilionidae","Lepidoptera","Graphium","2007","Graphium sarpedon","LEP36329","BN005174","Papilionidae","Graphium","sarpedon","1807","BN005174_LEP36329_Papilionidae_Papilioninae_Leptocircini_Graphium_sarpedon","0","0","1693.24156997754","2562075786_graphium_G_sarpedon_upp_F_39745","Graphium_sarpedon"
"2562075838","2562075838_graphium_G_agamemnon_upp_M_39394.jpg.jpg","Graphium agamemnon","-0.837889","130.588333","Papilionidae","Lepidoptera","Graphium","2011","Graphium agamemnon","RF140004",NA,"Papilionidae","Graphium","agamemnon","1808","RF140004_Graphium_agamemnon_ME","0","0","1796.5952935205","2562075838_graphium_G_agamemnon_upp_M_39394","Graphium_agamemnon"
"2562075969","2562075969_graphium_G_agamemnon_upp_F_39391.jpg.jpg","Graphium agamemnon","-0.586","127.572806","Papilionidae","Lepidoptera","Graphium","2018","Graphium agamemnon","RF140004",NA,"Papilionidae","Graphium","agamemnon","1808","RF140004_Graphium_agamemnon_ME","0","0","1963.7631266525","2562075969_graphium_G_agamemnon_upp_F_39391","Graphium_agamemnon"
"2562076047","2562076047_graphium_G_evemon_upp_M_42696.jpg.jpg","Graphium evemon","-0.298771","114.130556","Papilionidae","Lepidoptera","Graphium","2004","Graphium evemon","SRR4345447",NA,"Papilionidae","Graphium","evemon","1806","SRR4345447_Graphium_evemon","0","0","1580.43168770434","2562076047_graphium_G_evemon_upp_M_42696","Graphium_evemon"
"2562076058","2562076058_graphium_G_agamemnon_upp_F_39376.jpg.jpg","Graphium agamemnon","-6.735667","107.016222","Papilionidae","Lepidoptera","Graphium","2011","Graphium agamemnon","RF140004",NA,"Papilionidae","Graphium","agamemnon","1808","RF140004_Graphium_agamemnon_ME","0","0","1877.44273806154","2562076058_graphium_G_agamemnon_upp_F_39376","Graphium_agamemnon"
"2562076094","2562076094_graphium_G_agamemnon_upp_F_39398.jpg.jpg","Graphium agamemnon","-0.834167","130.589972","Papilionidae","Lepidoptera","Graphium","2011","Graphium agamemnon","RF140004",NA,"Papilionidae","Graphium","agamemnon","1808","RF140004_Graphium_agamemnon_ME","0","0","2030.81936813691","2562076094_graphium_G_agamemnon_upp_F_39398","Graphium_agamemnon"
"2562076118","2562076118_graphium_G_sarpedon_upp_M_39735.jpg.jpg","Graphium sarpedon","-6.744889","106.554444","Papilionidae","Lepidoptera","Graphium","2016","Graphium sarpedon","LEP36329","BN005174","Papilionidae","Graphium","sarpedon","1807","BN005174_LEP36329_Papilionidae_Papilioninae_Leptocircini_Graphium_sarpedon","0","0","1648.8165612948","2562076118_graphium_G_sarpedon_upp_M_39735","Graphium_sarpedon"
"2562076194","2562076194_graphium_G_sarpedon_upp_M_39741.jpg.jpg","Graphium sarpedon","-6.758417","107.024972","Papilionidae","Lepidoptera","Graphium","2011","Graphium sarpedon","LEP36329","BN005174","Papilionidae","Graphium","sarpedon","1807","BN005174_LEP36329_Papilionidae_Papilioninae_Leptocircini_Graphium_sarpedon","0","0","1669.88542825548","2562076194_graphium_G_sarpedon_upp_M_39741","Graphium_sarpedon"
"2562076274","2562076274_graphium_G_agamemnon_upp_F_39406.jpg.jpg","Graphium agamemnon","-3.766611","134.0965","Papilionidae","Lepidoptera","Graphium","2014","Graphium agamemnon","RF140004",NA,"Papilionidae","Graphium","agamemnon","1808","RF140004_Graphium_agamemnon_ME","0","0","1788.8230293408","2562076274_graphium_G_agamemnon_upp_F_39406","Graphium_agamemnon"
"2562076283","2562076283_graphium_G_sarpedon_upp_F_39744.jpg","Graphium sarpedon","-6.735667","107.016222","Papilionidae","Lepidoptera","Graphium","2011","Graphium sarpedon","LEP36329","BN005174","Papilionidae","Graphium","sarpedon","1807","BN005174_LEP36329_Papilionidae_Papilioninae_Leptocircini_Graphium_sarpedon","0","0","1585.56049152973","2562076283_graphium_G_sarpedon_upp_F_39744","Graphium_sarpedon"
"2562076345","2562076345_graphium_G_sarpedon_upp_F_39753.jpg","Graphium sarpedon","-7.292778","109.921111","Papilionidae","Lepidoptera","Graphium","2007","Graphium sarpedon","LEP36329","BN005174","Papilionidae","Graphium","sarpedon","1807","BN005174_LEP36329_Papilionidae_Papilioninae_Leptocircini_Graphium_sarpedon","0","0","1601.90114570157","2562076345_graphium_G_sarpedon_upp_F_39753","Graphium_sarpedon"
